date_id,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20240101,2024-01-01,2024,1,1,January,1,1,Monday,false
20240102,2024-01-02,2024,1,1,January,2,2,Tuesday,false
20240103,2024-01-03,2024,1,1,January,3,3,Wednesday,false
20240104,2024-01-04,2024,1,1,January,4,4,Thursday,false
20240105,2024-01-05,2024,1,1,January,5,5,Friday,false
20240106,2024-01-06,2024,1,1,January,6,6,Saturday,true
20240107,2024-01-07,2024,1,1,January,7,7,Sunday,true
20240108,2024-01-08,2024,1,1,January,8,1,Monday,false
20240109,2024-01-09,2024,1,1,January,9,2,Tuesday,false
20240110,2024-01-10,2024,1,1,January,10,3,Wednesday,false
20240111,2024-01-11,2024,1,1,January,11,4,Thursday,false
20240112,2024-01-12,2024,1,1,January,12,5,Friday,false
20240113,2024-01-13,2024,1,1,January,13,6,Saturday,true
20240114,2024-01-14,2024,1,1,January,14,7,Sunday,true
20240115,2024-01-15,2024,1,1,January,15,1,Monday,false
20240116,2024-01-16,2024,1,1,January,16,2,Tuesday,false
20240117,2024-01-17,2024,1,1,January,17,3,Wednesday,false
20240118,2024-01-18,2024,1,1,January,18,4,Thursday,false
20240119,2024-01-19,2024,1,1,January,19,5,Friday,false
20240120,2024-01-20,2024,1,1,January,20,6,Saturday,true
20240121,2024-01-21,2024,1,1,January,21,7,Sunday,true
20240122,2024-01-22,2024,1,1,January,22,1,Monday,false
20240123,2024-01-23,2024,1,1,January,23,2,Tuesday,false
20240124,2024-01-24,2024,1,1,January,24,3,Wednesday,false
20240125,2024-01-25,2024,1,1,January,25,4,Thursday,false
20240126,2024-01-26,2024,1,1,January,26,5,Friday,false
20240127,2024-01-27,2024,1,1,January,27,6,Saturday,true
20240128,2024-01-28,2024,1,1,January,28,7,Sunday,true
20240129,2024-01-29,2024,1,1,January,29,1,Monday,false
20240130,2024-01-30,2024,1,1,January,30,2,Tuesday,false
20240131,2024-01-31,2024,1,1,January,31,3,Wednesday,false
20240201,2024-02-01,2024,1,2,February,1,4,Thursday,false
20240202,2024-02-02,2024,1,2,February,2,5,Friday,false
20240203,2024-02-03,2024,1,2,February,3,6,Saturday,true
20240204,2024-02-04,2024,1,2,February,4,7,Sunday,true
20240205,2024-02-05,2024,1,2,February,5,1,Monday,false
20240206,2024-02-06,2024,1,2,February,6,2,Tuesday,false
20240207,2024-02-07,2024,1,2,February,7,3,Wednesday,false
20240208,2024-02-08,2024,1,2,February,8,4,Thursday,false
20240209,2024-02-09,2024,1,2,February,9,5,Friday,false
20240210,2024-02-10,2024,1,2,February,10,6,Saturday,true
20240211,2024-02-11,2024,1,2,February,11,7,Sunday,true
